id,title,budget,genres,cast,revenue
0,Mock Movie 0,57384995.35539314,"[{""id"": 45, ""name"": ""Action""}]","[{""name"": ""Actor 58"", ""character"": ""Character 5""}, {""name"": ""Actor 36"", ""character"": ""Character 4""}, {""name"": ""Actor 27"", ""character"": ""Character 12""}, {""name"": ""Actor 140"", ""character"": ""Character 28""}, {""name"": ""Actor 23"", ""character"": ""Character 30""}, {""name"": ""Actor 109"", ""character"": ""Character 65""}]",257175274.11805725
1,Mock Movie 1,35160749.45900854,"[{""id"": 10, ""name"": ""Drama""}, {""id"": 30, ""name"": ""Thriller""}, {""id"": 99, ""name"": ""Science Fiction""}, {""id"": 64, ""name"": ""Romance""}]","[{""name"": ""Actor 72"", ""character"": ""Character 46""}, {""name"": ""Actor 40"", ""character"": ""Character 45""}, {""name"": ""Actor 56"", ""character"": ""Character 78""}, {""name"": ""Actor 87"", ""character"": ""Character 34""}, {""name"": ""Actor 27"", ""character"": ""Character 6""}, {""name"": ""Actor 24"", ""character"": ""Character 94""}, {""name"": ""Actor 98"", ""character"": ""Character 59""}, {""name"": ""Actor 25"", ""character"": ""Character 69""}]",136244466.8369886
2,Mock Movie 2,31804631.88468324,"[{""id"": 47, ""name"": ""Fantasy""}]","[{""name"": ""Actor 148"", ""character"": ""Character 13""}, {""name"": ""Actor 50"", ""character"": ""Character 49""}, {""name"": ""Actor 18"", ""character"": ""Character 36""}, {""name"": ""Actor 12"", ""character"": ""Character 59""}, {""name"": ""Actor 59"", ""character"": ""Character 82""}, {""name"": ""Actor 75"", ""character"": ""Character 47""}, {""name"": ""Actor 21"", ""character"": ""Character 21""}, {""name"": ""Actor 60"", ""character"": ""Character 48""}]",51546330.67201725
3,Mock Movie 3,31805206.50677868,"[{""id"": 91, ""name"": ""Animation""}]","[{""name"": ""Actor 137"", ""character"": ""Character 35""}, {""name"": ""Actor 63"", ""character"": ""Character 82""}, {""name"": ""Actor 42"", ""character"": ""Character 89""}, {""name"": ""Actor 119"", ""character"": ""Character 72""}, {""name"": ""Actor 98"", ""character"": ""Character 29""}]",142852110.3210807
4,Mock Movie 4,95272448.5427587,"[{""id"": 14, ""name"": ""Drama""}]","[{""name"": ""Actor 103"", ""character"": ""Character 83""}, {""name"": ""Actor 69"", ""character"": ""Character 59""}, {""name"": ""Actor 17"", ""character"": ""Character 19""}, {""name"": ""Actor 55"", ""character"": ""Character 34""}, {""name"": ""Actor 146"", ""character"": ""Character 18""}, {""name"": ""Actor 81"", ""character"": ""Character 32""}, {""name"": ""Actor 128"", ""character"": ""Character 96""}, {""name"": ""Actor 102"", ""character"": ""Character 72""}]",131306496.7651734
5,Mock Movie 5,66860215.52035181,"[{""id"": 27, ""name"": ""Animation""}, {""id"": 75, ""name"": ""Romance""}, {""id"": 73, ""name"": ""Horror""}, {""id"": 21, ""name"": ""Adventure""}]","[{""name"": ""Actor 29"", ""character"": ""Character 88""}, {""name"": ""Actor 40"", ""character"": ""Character 55""}, {""name"": ""Actor 41"", ""character"": ""Character 77""}]",326656109.2777035
6,Mock Movie 6,23568396.492276676,"[{""id"": 24, ""name"": ""Fantasy""}, {""id"": 97, ""name"": ""Science Fiction""}, {""id"": 78, ""name"": ""Action""}, {""id"": 44, ""name"": ""Horror""}]","[{""name"": ""Actor 29"", ""character"": ""Character 98""}, {""name"": ""Actor 76"", ""character"": ""Character 23""}, {""name"": ""Actor 112"", ""character"": ""Character 65""}, {""name"": ""Actor 41"", ""character"": ""Character 14""}, {""name"": ""Actor 117"", ""character"": ""Character 81""}, {""name"": ""Actor 1"", ""character"": ""Character 39""}, {""name"": ""Actor 68"", ""character"": ""Character 82""}, {""name"": ""Actor 129"", ""character"": ""Character 65""}]",68134699.37647086
7,Mock Movie 7,58989601.52550876,"[{""id"": 10, ""name"": ""Fantasy""}, {""id"": 86, ""name"": ""Animation""}]","[{""name"": ""Actor 126"", ""character"": ""Character 11""}, {""name"": ""Actor 5"", ""character"": ""Character 11""}, {""name"": ""Actor 29"", ""character"": ""Character 94""}, {""name"": ""Actor 93"", ""character"": ""Character 63""}, {""name"": ""Actor 79"", ""character"": ""Character 9""}, {""name"": ""Actor 62"", ""character"": ""Character 98""}, {""name"": ""Actor 15"", ""character"": ""Character 69""}, {""name"": ""Actor 146"", ""character"": ""Character 99""}]",123697486.16180643
8,Mock Movie 8,48468679.5048112,"[{""id"": 87, ""name"": ""Science Fiction""}, {""id"": 64, ""name"": ""Fantasy""}]","[{""name"": ""Actor 139"", ""character"": ""Character 67""}, {""name"": ""Actor 52"", ""character"": ""Character 58""}, {""name"": ""Actor 80"", ""character"": ""Character 16""}, {""name"": ""Actor 103"", ""character"": ""Character 32""}, {""name"": ""Actor 96"", ""character"": ""Character 29""}, {""name"": ""Actor 113"", ""character"": ""Character 9""}]",157105944.96230265
9,Mock Movie 9,1000000.0,"[{""id"": 10, ""name"": ""Animation""}, {""id"": 19, ""name"": ""Drama""}]","[{""name"": ""Actor 59"", ""character"": ""Character 43""}, {""name"": ""Actor 18"", ""character"": ""Character 10""}, {""name"": ""Actor 9"", ""character"": ""Character 66""}]",2506670.7327525592
10,Mock Movie 10,4550910.788295165,"[{""id"": 83, ""name"": ""Fantasy""}, {""id"": 83, ""name"": ""Comedy""}]","[{""name"": ""Actor 63"", ""character"": ""Character 94""}, {""name"": ""Actor 122"", ""character"": ""Character 7""}, {""name"": ""Actor 105"", ""character"": ""Character 87""}, {""name"": ""Actor 49"", ""character"": ""Character 84""}, {""name"": ""Actor 25"", ""character"": ""Character 83""}, {""name"": ""Actor 111"", ""character"": ""Character 13""}, {""name"": ""Actor 91"", ""character"": ""Character 8""}, {""name"": ""Actor 109"", ""character"": ""Character 52""}, {""name"": ""Actor 106"", ""character"": ""Character 94""}, {""name"": ""Actor 120"", ""character"": ""Character 44""}]",10513285.030448366
11,Mock Movie 11,50998656.640834585,"[{""id"": 67, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Fantasy""}]","[{""name"": ""Actor 47"", ""character"": ""Character 84""}, {""name"": ""Actor 72"", ""character"": ""Character 70""}, {""name"": ""Actor 119"", ""character"": ""Character 2""}, {""name"": ""Actor 64"", ""character"": ""Character 12""}, {""name"": ""Actor 20"", ""character"": ""Character 97""}, {""name"": ""Actor 114"", ""character"": ""Character 31""}, {""name"": ""Actor 141"", ""character"": ""Character 22""}, {""name"": ""Actor 26"", ""character"": ""Character 53""}, {""name"": ""Actor 13"", ""character"": ""Character 63""}]",137297308.67235026
12,Mock Movie 12,91297706.9122544,"[{""id"": 58, ""name"": ""Comedy""}]","[{""name"": ""Actor 100"", ""character"": ""Character 37""}, {""name"": ""Actor 68"", ""character"": ""Character 55""}, {""name"": ""Actor 117"", ""character"": ""Character 90""}]",178830330.37261525
13,Mock Movie 13,32097829.48297125,"[{""id"": 17, ""name"": ""Comedy""}, {""id"": 84, ""name"": ""Drama""}, {""id"": 79, ""name"": ""Science Fiction""}, {""id"": 17, ""name"": ""Adventure""}]","[{""name"": ""Actor 15"", ""character"": ""Character 24""}, {""name"": ""Actor 13"", ""character"": ""Character 9""}, {""name"": ""Actor 123"", ""character"": ""Character 77""}, {""name"": ""Actor 129"", ""character"": ""Character 9""}, {""name"": ""Actor 136"", ""character"": ""Character 87""}, {""name"": ""Actor 41"", ""character"": ""Character 31""}, {""name"": ""Actor 131"", ""character"": ""Character 52""}, {""name"": ""Actor 21"", ""character"": ""Character 16""}]",120498168.47954029
14,Mock Movie 14,20946604.641618606,"[{""id"": 20, ""name"": ""Animation""}]","[{""name"": ""Actor 145"", ""character"": ""Character 86""}, {""name"": ""Actor 134"", ""character"": ""Character 83""}, {""name"": ""Actor 81"", ""character"": ""Character 39""}, {""name"": ""Actor 67"", ""character"": ""Character 59""}, {""name"": ""Actor 53"", ""character"": ""Character 41""}, {""name"": ""Actor 62"", ""character"": ""Character 97""}, {""name"": ""Actor 68"", ""character"": ""Character 10""}, {""name"": ""Actor 102"", ""character"": ""Character 2""}, {""name"": ""Actor 34"", ""character"": ""Character 59""}]",73494732.46629693
15,Mock Movie 15,43882290.63984531,"[{""id"": 78, ""name"": ""Adventure""}]","[{""name"": ""Actor 130"", ""character"": ""Character 48""}, {""name"": ""Actor 68"", ""character"": ""Character 37""}, {""name"": ""Actor 34"", ""character"": ""Character 21""}, {""name"": ""Actor 90"", ""character"": ""Character 57""}, {""name"": ""Actor 18"", ""character"": ""Character 70""}, {""name"": ""Actor 63"", ""character"": ""Character 91""}]",85482336.6274514
16,Mock Movie 16,18977645.852841824,"[{""id"": 48, ""name"": ""Fantasy""}]","[{""name"": ""Actor 35"", ""character"": ""Character 96""}, {""name"": ""Actor 68"", ""character"": ""Character 71""}, {""name"": ""Actor 30"", ""character"": ""Character 20""}, {""name"": ""Actor 28"", ""character"": ""Character 35""}]",72116676.8436804
17,Mock Movie 17,29790718.75723531,"[{""id"": 42, ""name"": ""Drama""}, {""id"": 16, ""name"": ""Science Fiction""}, {""id"": 21, ""name"": ""Thriller""}]","[{""name"": ""Actor 71"", ""character"": ""Character 91""}, {""name"": ""Actor 12"", ""character"": ""Character 55""}, {""name"": ""Actor 1"", ""character"": ""Character 72""}, {""name"": ""Actor 86"", ""character"": ""Character 2""}, {""name"": ""Actor 34"", ""character"": ""Character 15""}, {""name"": ""Actor 68"", ""character"": ""Character 10""}, {""name"": ""Actor 42"", ""character"": ""Character 89""}, {""name"": ""Actor 114"", ""character"": ""Character 20""}, {""name"": ""Actor 142"", ""character"": ""Character 70""}]",258626596.34483516
18,Mock Movie 18,39527597.13417231,"[{""id"": 15, ""name"": ""Romance""}, {""id"": 49, ""name"": ""Comedy""}]","[{""name"": ""Actor 11"", ""character"": ""Character 80""}, {""name"": ""Actor 92"", ""character"": ""Character 96""}, {""name"": ""Actor 54"", ""character"": ""Character 20""}, {""name"": ""Actor 64"", ""character"": ""Character 31""}, {""name"": ""Actor 27"", ""character"": ""Character 21""}, {""name"": ""Actor 91"", ""character"": ""Character 23""}, {""name"": ""Actor 144"", ""character"": ""Character 53""}, {""name"": ""Actor 105"", ""character"": ""Character 4""}]",56551199.587416865
19,Mock Movie 19,2980117.486543484,"[{""id"": 99, ""name"": ""Drama""}, {""id"": 23, ""name"": ""Science Fiction""}, {""id"": 58, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Romance""}]","[{""name"": ""Actor 57"", ""character"": ""Character 43""}, {""name"": ""Actor 52"", ""character"": ""Character 36""}, {""name"": ""Actor 118"", ""character"": ""Character 9""}, {""name"": ""Actor 90"", ""character"": ""Character 99""}, {""name"": ""Actor 79"", ""character"": ""Character 36""}, {""name"": ""Actor 59"", ""character"": ""Character 45""}, {""name"": ""Actor 58"", ""character"": ""Character 83""}, {""name"": ""Actor 7"", ""character"": ""Character 66""}, {""name"": ""Actor 50"", ""character"": ""Character 52""}, {""name"": ""Actor 103"", ""character"": ""Character 87""}]",15363749.925325695
20,Mock Movie 20,68789071.92361161,"[{""id"": 43, ""name"": ""Adventure""}]","[{""name"": ""Actor 149"", ""character"": ""Character 45""}, {""name"": ""Actor 68"", ""character"": ""Character 94""}, {""name"": ""Actor 10"", ""character"": ""Character 41""}, {""name"": ""Actor 28"", ""character"": ""Character 56""}, {""name"": ""Actor 112"", ""character"": ""Character 78""}]",170906592.90419838
21,Mock Movie 21,1000000.0,"[{""id"": 100, ""name"": ""Science Fiction""}, {""id"": 65, ""name"": ""Action""}]","[{""name"": ""Actor 134"", ""character"": ""Character 47""}, {""name"": ""Actor 138"", ""character"": ""Character 56""}, {""name"": ""Actor 51"", ""character"": ""Character 9""}]",4076258.480475682
22,Mock Movie 22,1000000.0,"[{""id"": 95, ""name"": ""Adventure""}, {""id"": 62, ""name"": ""Science Fiction""}, {""id"": 51, ""name"": ""Fantasy""}]","[{""name"": ""Actor 76"", ""character"": ""Character 52""}, {""name"": ""Actor 142"", ""character"": ""Character 71""}, {""name"": ""Actor 33"", ""character"": ""Character 1""}, {""name"": ""Actor 50"", ""character"": ""Character 39""}, {""name"": ""Actor 108"", ""character"": ""Character 37""}, {""name"": ""Actor 98"", ""character"": ""Character 27""}, {""name"": ""Actor 45"", ""character"": ""Character 56""}, {""name"": ""Actor 146"", ""character"": ""Character 75""}, {""name"": ""Actor 78"", ""character"": ""Character 78""}]",5284421.585505323
23,Mock Movie 23,46890143.25541932,"[{""id"": 31, ""name"": ""Drama""}, {""id"": 94, ""name"": ""Fantasy""}, {""id"": 20, ""name"": ""Thriller""}, {""id"": 46, ""name"": ""Romance""}]","[{""name"": ""Actor 24"", ""character"": ""Character 32""}, {""name"": ""Actor 61"", ""character"": ""Character 61""}, {""name"": ""Actor 80"", ""character"": ""Character 79""}, {""name"": ""Actor 58"", ""character"": ""Character 99""}, {""name"": ""Actor 51"", ""character"": ""Character 10""}, {""name"": ""Actor 38"", ""character"": ""Character 59""}, {""name"": ""Actor 7"", ""character"": ""Character 54""}, {""name"": ""Actor 12"", ""character"": ""Character 81""}]",203761339.2492322
